adipose,calcification,fibroglandular
6.39E+05,4.34E+06,1.14E+06
1.45E+05,1.94E+06,2.66E+05
5.30E+04,7.98E+05,9.90E+04
2.48E+04,1.23E+06,4.67E+04
1.35E+04,7.29E+05,2.55E+04
8.14E+03,4.64E+05,1.54E+04
5.29E+03,3.15E+05,1.00E+04
3.65E+03,2.23E+05,6.88E+03
2.64E+03,1.63E+05,4.94E+03
1.98E+03,1.23E+05,3.68E+03
1.54E+03,9.55E+04,2.83E+03
1.23E+03,7.54E+04,2.23E+03
1.01E+03,6.05E+04,1.81E+03
8.48E+02,4.94E+04,1.49E+03
7.25E+02,4.08E+04,1.25E+03
6.31E+02,3.41E+04,1.07E+03
5.57E+02,2.88E+04,9.25E+02
4.99E+02,2.46E+04,8.12E+02
4.52E+02,2.12E+04,7.22E+02
4.14E+02,1.83E+04,6.48E+02
3.83E+02,1.60E+04,5.88E+02
3.57E+02,1.41E+04,5.38E+02
3.35E+02,1.24E+04,4.96E+02
3.17E+02,1.11E+04,4.61E+02
3.02E+02,9.88E+03,4.31E+02
2.88E+02,8.87E+03,4.06E+02
2.77E+02,8.00E+03,3.84E+02
2.67E+02,7.25E+03,3.65E+02
2.58E+02,6.59E+03,3.48E+02
2.50E+02,6.02E+03,3.33E+02
2.43E+02,5.52E+03,3.21E+02
2.37E+02,5.07E+03,3.09E+02
2.32E+02,4.68E+03,2.99E+02
2.27E+02,4.33E+03,2.90E+02
2.22E+02,4.02E+03,2.82E+02
2.18E+02,3.74E+03,2.75E+02
2.15E+02,3.49E+03,2.69E+02
2.12E+02,3.26E+03,2.63E+02
2.09E+02,3.06E+03,2.57E+02
2.06E+02,2.87E+03,2.52E+02
2.03E+02,2.71E+03,2.48E+02
2.01E+02,2.55E+03,2.44E+02
1.99E+02,2.42E+03,2.40E+02
1.97E+02,2.29E+03,2.36E+02
1.95E+02,2.18E+03,2.33E+02
1.93E+02,2.07E+03,2.30E+02
1.91E+02,1.97E+03,2.27E+02
1.89E+02,1.88E+03,2.24E+02
1.88E+02,1.80E+03,2.22E+02
1.87E+02,1.72E+03,2.20E+02
1.85E+02,1.65E+03,2.17E+02
1.84E+02,1.59E+03,2.15E+02
1.83E+02,1.53E+03,2.13E+02
1.81E+02,1.47E+03,2.12E+02
1.80E+02,1.42E+03,2.10E+02
1.79E+02,1.37E+03,2.08E+02
1.78E+02,1.32E+03,2.07E+02
1.77E+02,1.28E+03,2.05E+02
1.76E+02,1.24E+03,2.04E+02
1.75E+02,1.20E+03,2.02E+02
1.74E+02,1.17E+03,2.01E+02
1.74E+02,1.13E+03,2.00E+02
1.73E+02,1.10E+03,1.98E+02
1.72E+02,1.07E+03,1.97E+02
1.71E+02,1.05E+03,1.96E+02
1.70E+02,1.02E+03,1.95E+02
1.70E+02,9.95E+02,1.94E+02
1.69E+02,9.72E+02,1.93E+02
1.68E+02,9.50E+02,1.92E+02
1.68E+02,9.29E+02,1.91E+02
1.67E+02,9.09E+02,1.90E+02
1.66E+02,8.91E+02,1.89E+02
1.66E+02,8.73E+02,1.88E+02
1.65E+02,8.56E+02,1.87E+02
1.64E+02,8.40E+02,1.87E+02
1.64E+02,8.25E+02,1.86E+02
1.63E+02,8.10E+02,1.85E+02
1.63E+02,7.96E+02,1.84E+02
1.62E+02,7.83E+02,1.84E+02
1.62E+02,7.71E+02,1.83E+02
1.61E+02,7.58E+02,1.82E+02
1.60E+02,7.47E+02,1.81E+02
1.60E+02,7.36E+02,1.81E+02
1.59E+02,7.25E+02,1.80E+02
1.59E+02,7.15E+02,1.79E+02
1.58E+02,7.06E+02,1.79E+02
1.58E+02,6.96E+02,1.78E+02
1.57E+02,6.87E+02,1.77E+02
1.57E+02,6.79E+02,1.77E+02
1.56E+02,6.70E+02,1.76E+02
1.56E+02,6.63E+02,1.76E+02
1.56E+02,6.55E+02,1.75E+02
1.55E+02,6.48E+02,1.75E+02
1.55E+02,6.40E+02,1.74E+02
1.54E+02,6.34E+02,1.73E+02
1.54E+02,6.27E+02,1.73E+02
1.53E+02,6.21E+02,1.72E+02
1.53E+02,6.15E+02,1.72E+02
1.53E+02,6.09E+02,1.71E+02
1.52E+02,6.03E+02,1.71E+02
1.52E+02,5.97E+02,1.70E+02
1.51E+02,5.92E+02,1.70E+02
1.51E+02,5.87E+02,1.69E+02
1.50E+02,5.82E+02,1.69E+02
1.50E+02,5.77E+02,1.68E+02
1.50E+02,5.72E+02,1.68E+02
1.49E+02,5.68E+02,1.67E+02
1.49E+02,5.63E+02,1.67E+02
1.49E+02,5.59E+02,1.66E+02
1.48E+02,5.55E+02,1.66E+02
1.48E+02,5.51E+02,1.66E+02
1.47E+02,5.47E+02,1.65E+02
1.47E+02,5.43E+02,1.65E+02
1.47E+02,5.39E+02,1.64E+02
1.46E+02,5.35E+02,1.64E+02
1.46E+02,5.32E+02,1.63E+02
1.46E+02,5.28E+02,1.63E+02
1.45E+02,5.25E+02,1.63E+02
1.45E+02,5.22E+02,1.62E+02
1.45E+02,5.19E+02,1.62E+02
1.44E+02,5.15E+02,1.61E+02
1.44E+02,5.12E+02,1.61E+02
1.44E+02,5.09E+02,1.61E+02
1.43E+02,5.07E+02,1.60E+02
1.43E+02,5.04E+02,1.60E+02
1.43E+02,5.01E+02,1.59E+02
1.42E+02,4.98E+02,1.59E+02
1.42E+02,4.96E+02,1.59E+02
1.42E+02,4.93E+02,1.58E+02
1.41E+02,4.91E+02,1.58E+02
1.41E+02,4.88E+02,1.58E+02
1.41E+02,4.86E+02,1.57E+02
1.40E+02,4.83E+02,1.57E+02
1.40E+02,4.81E+02,1.57E+02
1.40E+02,4.79E+02,1.56E+02
1.39E+02,4.77E+02,1.56E+02
1.39E+02,4.74E+02,1.55E+02
1.39E+02,4.72E+02,1.55E+02
1.39E+02,4.70E+02,1.55E+02
1.38E+02,4.68E+02,1.54E+02
1.38E+02,4.66E+02,1.54E+02
1.38E+02,4.64E+02,1.54E+02
1.37E+02,4.62E+02,1.53E+02
1.37E+02,4.60E+02,1.53E+02
1.37E+02,4.58E+02,1.53E+02
1.37E+02,4.57E+02,1.52E+02
1.36E+02,4.55E+02,1.52E+02
1.36E+02,4.53E+02,1.52E+02
1.36E+02,4.51E+02,1.51E+02
1.35E+02,4.50E+02,1.51E+02
